time,lat,lat,U,V
238884.0,20.0,120.00000762939452,0.056087554000000005,-3.7181330000000004
238890.0,20.0,120.00000762939452,-3.5107136,-1.2068892
238896.0,20.0,120.00000762939452,-4.279909,2.2387867000000004
238902.0,20.0,120.00000762939452,-4.8976717,0.60164624
238908.0,20.0,120.00000762939452,-6.394810700000001,1.4561643999999998
238914.0,20.0,120.00000762939452,-6.1838120000000005,3.0602179
238920.0,20.0,120.00000762939452,-4.1510763,3.7026281
238926.0,20.0,120.00000762939452,-1.4902104999999999,0.5679389
238932.0,20.0,120.00000762939452,-1.5137358,1.2762995000000001
238938.0,20.0,120.00000762939452,2.882495,0.20561457
238944.0,20.0,120.00000762939452,2.9185220000000003,-1.8583880000000002
238950.0,20.0,120.00000762939452,1.1988077,-0.26068020000000003
238956.0,20.0,120.00000762939452,2.5843506,-0.8197011999999999
238962.0,20.0,120.00000762939452,-0.5422529,-4.054121
238968.0,20.0,120.00000762939452,-3.5670815,-1.7057218999999997
238974.0,20.0,120.00000762939452,-2.0871534,-1.6233834999999999
238980.0,20.0,120.00000762939452,-1.2299728,-4.055751
238986.0,20.0,120.00000762939452,-1.70123,-5.330386
238992.0,20.0,120.00000762939452,-3.7080116000000003,-4.000499700000001
238998.0,20.0,120.00000762939452,-6.815233999999999,-2.236927
239004.0,20.0,120.00000762939452,-8.084318,-2.6781235
239010.0,20.0,120.00000762939452,-8.730250999999999,-3.1822996
239016.0,20.0,120.00000762939452,-10.306239999999999,0.6867108000000001
239022.0,20.0,120.00000762939452,-8.06505,-0.77744675
239028.0,20.0,120.00000762939452,-9.808023,-0.06623685
239034.0,20.0,120.00000762939452,-8.380587,2.9957361000000002
239040.0,20.0,120.00000762939452,-7.779665,4.905755999999999
239046.0,20.0,120.00000762939452,-2.6706038,4.52442
239052.0,20.0,120.00000762939452,-0.81214523,3.7417812000000006
239058.0,20.0,120.00000762939452,0.1558361,2.4381866000000003
239064.0,20.0,120.00000762939452,-0.9987030000000001,4.1985730000000006
239070.0,20.0,120.00000762939452,3.7936343999999997,2.4400616000000004
239076.0,20.0,120.00000762939452,3.0424889999999998,3.5002584000000003
239082.0,20.0,120.00000762939452,2.6789446,0.048122345999999996
239088.0,20.0,120.00000762939452,0.62511164,1.8429146
239094.0,20.0,120.00000762939452,0.15046418,1.0437585999999999
239100.0,20.0,120.00000762939452,-1.1589575,2.0107136000000003
239106.0,20.0,120.00000762939452,-1.6225061,0.6357218000000001
239112.0,20.0,120.00000762939452,-3.1932888,2.4604712
239118.0,20.0,120.00000762939452,0.9020575000000001,2.154417
239124.0,20.0,120.00000762939452,0.8519745999999999,1.9240866
239130.0,20.0,120.00000762939452,0.32344878,1.6266034
239136.0,20.0,120.00000762939452,0.34474343,0.85589516
239142.0,20.0,120.00000762939452,-0.011517547,-0.4953602
239148.0,20.0,120.00000762939452,-2.2280655,-2.003209
239154.0,20.0,120.00000762939452,-5.468454400000001,-3.8978300000000004
239160.0,20.0,120.00000762939452,-8.605636,-2.054862
239166.0,20.0,120.00000762939452,-6.3415040000000005,-2.8065279999999997
239172.0,20.0,120.00000762939452,-7.330971000000001,-4.0259075
239178.0,20.0,120.00000762939452,-4.688451000000001,-4.689254
239184.0,20.0,120.00000762939452,-4.168297,-4.911659200000001
239190.0,20.0,120.00000762939452,-1.8887177,-4.879471
239196.0,20.0,120.00000762939452,-0.65499115,-7.819442
239202.0,20.0,120.00000762939452,-3.9672165,-7.2299414
239208.0,20.0,120.00000762939452,-7.214027400000001,-6.8391
239214.0,20.0,120.00000762939452,-7.512693400000001,-4.9807177000000005
239220.0,20.0,120.00000762939452,-8.106810000000001,-6.1983604
239226.0,20.0,120.00000762939452,-8.985750999999999,-5.5748386
239232.0,20.0,120.00000762939452,-9.153227000000001,-4.9718714
239238.0,20.0,120.00000762939452,-7.7468424,-3.6250744
239244.0,20.0,120.00000762939452,-9.331605,-2.8794222
239250.0,20.0,120.00000762939452,-9.143203999999999,-1.8003016
239256.0,20.0,120.00000762939452,-8.984707,-0.088118315
239262.0,20.0,120.00000762939452,-5.4402550000000005,-0.85840607
239268.0,20.0,120.00000762939452,-5.7419987,-0.6063042
239274.0,20.0,120.00000762939452,-5.2484617,0.081514776
239280.0,20.0,120.00000762939452,-4.763527,0.66841483
239286.0,20.0,120.00000762939452,-2.5634766,-1.9122276000000002
239292.0,20.0,120.00000762939452,-3.6566687000000004,-2.9053621
239298.0,20.0,120.00000762939452,-3.4744330000000003,-3.4372453999999997
239304.0,20.0,120.00000762939452,-3.8877935,-2.5781984000000002
239310.0,20.0,120.00000762939452,-4.8125706,-4.4042177
239316.0,20.0,120.00000762939452,-8.595286,-3.1837502
239322.0,20.0,120.00000762939452,-8.864402,-3.0079927000000004
239328.0,20.0,120.00000762939452,-7.729706,-0.55654377
239334.0,20.0,120.00000762939452,-6.0928574,-0.21195644
